iteration,loss,learning_rate,vacf_rmse,full_vacf_rmse,regularization,memory_second_diff,filter_first_diff,filter_second_diff,filter_tail,filter_norm
0,0.0008186266643198588,0.003,0.02861165259679802,0.028625969161415115,0.0,0.00022130954674226246,1.1941311672111291e-06,2.9146102058663584e-07,0.0,0.9771719730442041
1,0.0008507353102843556,0.003,0.02916736721550911,0.029181961846002354,0.0,0.00022930254301238445,1.5159072220095275e-06,8.752098041983582e-07,0.0,0.9998436828249057
2,0.001396912718142978,0.003,0.03737529555927254,0.037393997234478026,0.0,0.00025128024567677633,1.5151291125173195e-06,8.752941076775344e-07,0.0,0.9835522363747026
3,0.0008343062911965436,0.003,0.028884360667955654,0.02889881368895915,0.0,0.00023533900890614645,1.5229627547315892e-06,8.772107870964784e-07,0.0,0.9675105373544352
4,0.0010827752617093836,0.003,0.0329055506215803,0.03292201574676456,0.0,0.00022039247822240693,1.5255063121818466e-06,8.772218611296306e-07,0.0,0.9666349167473266
5,0.0010865033056917178,0.003,0.03296214959148929,0.03297864303740083,0.0,0.00021960109462393536,1.5300556585644268e-06,8.772341116192982e-07,0.0,0.9733518239493845
6,0.0008786460431054167,0.003,0.02964196422481845,0.029656796331938667,0.0,0.00022575487816159468,1.5325462486664946e-06,8.772371385493464e-07,0.0,0.9816238568896665
7,0.000854111947538318,0.003,0.029225193712588426,0.02923981727803323,0.0,0.0002335083621210022,1.53355870226258e-06,8.77237249348571e-07,0.0,0.9868739360539626
8,0.0009246111242398727,0.003,0.030407418901312107,0.03042263402305549,0.0,0.00023853140029663928,1.533731405382969e-06,8.772355109348421e-07,0.0,0.9875835142196904
9,0.0009061652244555306,0.003,0.030102578368896085,0.030117640955962716,0.0,0.00023921652231922397,1.5339520872585727e-06,8.772342709106812e-07,0.0,0.9849960278875177
10,0.0008706002623683837,0.003,0.02950593605307894,0.029520700095060182,0.0,0.00023672644134712512,1.535028444899198e-06,8.772360817417994e-07,0.0,0.9811506636882149
