iteration,loss,learning_rate,vacf_rmse,full_vacf_rmse,regularization,memory_second_diff,filter_first_diff,filter_second_diff,filter_tail,filter_norm
0,0.05983275904422627,0.003,0.24460735688900748,0.24472975237171754,0.0,0.00010336657445208283,1.6226583042767735e-08,1.1654379915475648e-12,0.0,0.8138214563675139
1,0.038059388821888224,0.003,0.19508815653926362,0.19518577383661037,0.0,0.0001098711434168889,1.5744778567326595e-07,2.8851689622793885e-07,0.0,0.823203351496299
2,0.02992405154204723,0.003,0.17298569750718476,0.17307225527968031,0.0,0.00011503992052767846,1.7454118282323098e-07,2.883535564520861e-07,0.0,0.828178232469876
3,0.027019590461212387,0.003,0.1643763683173843,0.16445861819409374,0.0,0.00011785964486812221,1.9119792677697674e-07,2.8838044295640487e-07,0.0,0.8297278592240092
4,0.024786487563794445,0.003,0.15743724960692893,0.1575160273199432,0.0,0.00011875780263866945,2.0842198355350716e-07,2.8843605381756545e-07,0.0,0.8288244891968126
5,0.02290908111981379,0.003,0.15135746139458664,0.15143319693167262,0.0,0.00011825539267938253,2.2650425801880787e-07,2.88506464004636e-07,0.0,0.8263555788253905
6,0.02170850552333637,0.003,0.1473380654255253,0.1474117897560961,0.0,0.00011686713088784222,2.455710391946569e-07,2.885896972962596e-07,0.0,0.8233886148015331
7,0.02108635236529868,0.003,0.14521140576861957,0.14528406597119936,0.0,0.00011521278045518361,2.6561577201189635e-07,2.8868399001135817e-07,0.0,0.8208212450811184
8,0.020529536666086232,0.003,0.1432813200179501,0.14335301445326873,0.0,0.00011379774458026459,2.8618130398741193e-07,2.8878421187791735e-07,0.0,0.8190180996851968
9,0.019563687411457437,0.003,0.13987025206046294,0.13994023968158542,0.0,0.0001128158987856947,3.064582358837467e-07,2.8888381330646943e-07,0.0,0.8179821379364267
10,0.018124627227868402,0.003,0.13462773573030337,0.13469510012567742,0.0,0.00011226033537632502,3.2608378829728897e-07,2.8897908851308604e-07,0.0,0.8176311304790667
11,0.016447480789131524,0.003,0.12824773210131837,0.12831190410038107,0.0,0.00011208135835988212,3.452072921122479e-07,2.89070933762616e-07,0.0,0.8178355443108546
12,0.014832269925307109,0.003,0.12178780696484812,0.12184874657685017,0.0,0.0001122066321149746,3.639898601496471e-07,2.891611796020901e-07,0.0,0.818403013834679
13,0.01351911965595643,0.003,0.1162717491738919,0.11632992868675152,0.0,0.00011253109916407392,3.823851632176151e-07,2.892493387183994e-07,0.0,0.8191120863890644
14,0.012631662171076618,0.003,0.1123906676333788,0.11244690514884868,0.0,0.00011293379686555665,4.001581294937488e-07,2.893320494289648e-07,0.0,0.8197800452432772
15,0.012178264079582342,0.003,0.11035517241879668,0.11041039142271192,0.0,0.00011331416104274871,4.169883173964942e-07,2.8940389158161005e-07,0.0,0.8203227366411082
16,0.012093403322360833,0.003,0.10997001101373426,0.11002503729239098,0.0,0.00011362525289308,4.32599834828713e-07,2.8945943488132435e-07,0.0,0.8207758660192004
17,0.012277492052581803,0.003,0.11080384493591278,0.1108592884444791,0.0,0.00011388637922435674,4.468748030994773e-07,2.8949615245272054e-07,0.0,0.8212764723959605
18,0.012621358717427018,0.003,0.11234482060792575,0.11240103518267594,0.0,0.00011417346924651002,4.598988242659113e-07,2.895163318727492e-07,0.0,0.8220218192813159
19,0.013022597977690054,0.003,0.11411659816910971,0.11417369929761126,0.0,0.00011459670004874204,4.719164080749398e-07,2.895260613210985e-07,0.0,0.8232222099617461
20,0.013398583085654132,0.003,0.1157522487282823,0.11581016829594397,0.0,0.00011527505038306634,4.832392563260399e-07,2.8953212338292273e-07,0.0,0.8250585035893029
21,0.013695089632771423,0.003,0.1170260211780757,0.11708457811002534,0.0,0.00011631395460394697,4.94170876173298e-07,2.8953952570536225e-07,0.0,0.8276519498155567
22,0.013888093524092017,0.003,0.11784775570239774,0.11790672381001699,0.0,0.0001177897624441201,5.049722883232441e-07,2.8955095309985307e-07,0.0,0.8310511948618112
23,0.01397837823585916,0.003,0.11823019172723674,0.11828935119640156,0.0,0.00011974287411344935,5.158580997352003e-07,2.8956742243857665e-07,0.0,0.8352370941451419
24,0.013982120749698247,0.003,0.11824601790207671,0.1183051852902687,0.0,0.00012217949480805134,5.270061328818994e-07,2.8958910224038225e-07,0.0,0.8401405576682098
25,0.01392271701624461,0.003,0.11799456350291995,0.11805360506953831,0.0,0.00012507970683778516,5.385695855811847e-07,2.8961584727358115e-07,0.0,0.8456633764064346
26,0.013827114338075456,0.003,0.11758875089937582,0.11764758940738576,0.0,0.00012840698110116173,5.506839026530675e-07,2.89647434129604e-07,0.0,0.8516909212516441
27,0.013724335270206141,0.003,0.11715090810662178,0.11720952752890736,0.0,0.0001321132213194399,5.634619073810802e-07,2.8968360140494345e-07,0.0,0.858093412094067
28,0.01364022886003426,0.003,0.1167913903506344,0.11684982987911038,0.0,0.0001361371842638117,5.769764841532903e-07,2.897239827141049e-07,0.0,0.8647253690256015
29,0.013587211477263227,0.003,0.11656419466226851,0.11662252050763086,0.0,0.0001404017531946391,5.912406895168823e-07,2.897680010833184e-07,0.0,0.8714366689493864
