system,r_A,U,force_column
H2O,0.0005,113.7111438,46.14120127
H2O,0.02054342984,112.7863159,46.14120149
H2O,0.04058685969,111.8614879,46.14120168
H2O,0.06063028953,110.93666,46.14120185
H2O,0.08067371938,110.011832,46.14120199
H2O,0.1007171492,109.0870041,46.14120212
H2O,0.1207605791,108.1621761,46.14120279
H2O,0.1408040089,107.2373482,46.1412031
H2O,0.1608474388,106.3125202,46.14120302
H2O,0.1808908686,105.3876923,46.14120255
H2O,0.2009342984,104.4628643,46.14120169
H2O,0.2209777283,103.5380364,46.14120131
H2O,0.2410211581,102.6132084,46.14120114
H2O,0.261064588,101.6883805,46.1412011
H2O,0.2811080178,100.7635526,46.14120121
H2O,0.3011514477,99.83872465,46.14120147
H2O,0.3211948775,98.91389672,46.14120149
H2O,0.3412383073,97.98906878,46.1412015
H2O,0.3612817372,97.06424085,46.14120153
H2O,0.381325167,96.13941291,46.1412016
H2O,0.4013685969,95.21458497,46.1412017
H2O,0.4214120267,94.28975703,46.14120172
H2O,0.4414554566,93.36492909,46.14120173
H2O,0.4614988864,92.44010115,46.14120175
H2O,0.4815423163,91.51527321,46.14120176
H2O,0.5015857461,90.59044527,46.14120178
H2O,0.5216291759,89.66561733,46.1412018
H2O,0.5416726058,88.74078939,46.1412018
H2O,0.5617160356,87.81596145,46.1412018
H2O,0.5817594655,86.89113351,46.1412018
H2O,0.6018028953,85.96630557,46.14120179
H2O,0.6218463252,85.04147762,46.14120178
H2O,0.641889755,84.11664968,46.14120176
H2O,0.6619331849,83.19182174,46.14120174
H2O,0.6819766147,82.2669938,46.14120172
H2O,0.7020200445,81.34216586,46.1412017
H2O,0.7220634744,80.41733793,46.14120161
H2O,0.7421069042,79.49250999,46.14120152
H2O,0.7621503341,78.56768205,46.14120149
H2O,0.7821937639,77.64285412,46.14120151
H2O,0.8022371938,76.71802618,46.14120159
H2O,0.8222806236,75.79319825,46.14120165
H2O,0.8423240535,74.86837031,46.14120168
H2O,0.8623674833,73.94354237,46.14120171
H2O,0.8824109131,73.01871443,46.14120173
H2O,0.902454343,72.09388649,46.14120175
H2O,0.9224977728,71.16905855,46.14120184
H2O,0.9425412027,70.2442306,46.14120193
H2O,0.9625846325,69.31940266,46.14120195
H2O,0.9826280624,68.39457472,46.14120191
H2O,1.002671492,67.46974677,46.1412018
H2O,1.022714922,66.54491883,46.14120162
H2O,1.042758352,65.6200909,46.14120148
H2O,1.062801782,64.69526296,46.14120143
H2O,1.082845212,63.77043503,46.14120146
H2O,1.102888641,62.8456071,46.14120158
H2O,1.122932071,61.92077916,46.14120173
H2O,1.142975501,60.99595122,46.1412018
H2O,1.163018931,60.07112327,46.14120183
H2O,1.183062361,59.14629533,46.14120181
H2O,1.203105791,58.22146739,46.14120174
H2O,1.22314922,57.29663945,46.1412016
H2O,1.24319265,56.37181152,46.14120148
H2O,1.26323608,55.44698358,46.14120144
H2O,1.28327951,54.52215565,46.14120147
H2O,1.30332294,53.59732771,46.14120158
H2O,1.32336637,52.67249977,46.14120182
H2O,1.3434098,51.74767183,46.14120204
H2O,1.363453229,50.82284388,46.14120212
H2O,1.383496659,49.89801594,46.14120207
H2O,1.403540089,48.97318799,46.14120187
H2O,1.423583519,48.04836005,46.14120162
H2O,1.443626949,47.12353212,46.14120149
H2O,1.463670379,46.19870418,46.14120144
H2O,1.483713808,45.27387625,46.14120146
H2O,1.503757238,44.34904831,46.14120157
H2O,1.523800668,43.42422037,46.14120173
H2O,1.543844098,42.49939243,46.14120182
H2O,1.563887528,41.57456449,46.14120185
H2O,1.583930958,40.64973655,46.14120181
H2O,1.603974388,39.72490861,46.14120171
H2O,1.624017817,38.80008067,46.14120157
H2O,1.644061247,37.87525273,46.14120152
H2O,1.664104677,36.9504248,46.14120149
H2O,1.684148107,36.02559686,46.14120149
H2O,1.704191537,35.10076893,46.14120152
H2O,1.724234967,34.17594099,46.14120157
H2O,1.744278396,33.25111306,46.14120159
H2O,1.764321826,32.32628512,46.14120161
H2O,1.784365256,31.40145718,46.14120163
H2O,1.804408686,30.47662924,46.14120165
H2O,1.824452116,29.55180131,46.14120173
H2O,1.844495546,28.62697336,46.14120198
H2O,1.864538976,27.70214542,46.1412021
H2O,1.884582405,26.77731747,46.14120209
H2O,1.904625835,25.85248952,46.14120195
H2O,1.924669265,24.92766158,46.1412017
H2O,1.944712695,24.00283364,46.1412015
H2O,1.964756125,23.07800571,46.14120137
H2O,1.984799555,22.15317778,46.14120132
H2O,2.004842984,21.22834985,46.14120134
H2O,2.024886414,20.30352191,46.14120146
H2O,2.044929844,19.37869398,46.14120176
H2O,2.064973274,18.45386603,46.14120195
H2O,2.085016704,17.52903809,46.14120203
H2O,2.105060134,16.60421014,46.14120199
H2O,2.125103563,15.67938485,46.13650491
H2O,2.145146993,14.75540855,46.06461798
H2O,2.165190423,13.83265072,46.01492148
H2O,2.185233853,12.91066659,45.98741541
H2O,2.205277283,11.98901139,45.98209978
H2O,2.225320713,11.06724191,45.98507874
H2O,2.245364143,10.15704017,44.86820425
H2O,2.265407572,9.26740066,43.93331138
H2O,2.285451002,8.394675839,43.18040012
H2O,2.305494432,7.535218174,42.60947049
H2O,2.325537862,6.685380129,42.22052247
H2O,2.345581292,5.879588108,38.10861605
H2O,2.365624722,5.155408836,34.21135723
H2O,2.385668151,4.505798699,30.66786
H2O,2.405711581,3.923667103,27.47812434
H2O,2.425755011,3.401923452,24.64215026
H2O,2.445798441,2.933857057,22.06412281
H2O,2.465841871,2.517655022,19.46045594
H2O,2.485885301,2.153966672,16.82413276
H2O,2.505928731,1.843446553,14.15515328
H2O,2.52597216,1.58674921,11.45351748
H2O,2.54601559,1.367152297,10.66161944
H2O,2.56605902,1.16109844,9.846731486
H2O,2.58610245,0.9745277949,8.717519871
H2O,2.60614588,0.8137404856,7.273984593
H2O,2.62618931,0.6850366366,5.516125653
H2O,2.646232739,0.5815086721,5.031931868
H2O,2.666276169,0.484711759,4.578646806
H2O,2.686319599,0.3998948335,3.836528917
H2O,2.706363029,0.3328470961,2.805578199
H2O,2.726406459,0.2893577474,1.485794654
H2O,2.746449889,0.2658536235,1.076825967
H2O,2.766493318,0.2466795349,0.8074763962
H2O,2.786536748,0.2346450203,0.3644155646
H2O,2.806580178,0.2332318491,-0.2523565276
H2O,2.826623608,0.2459217908,-1.042839881
H2O,2.846667038,0.2709501716,-1.28546226
H2O,2.866710468,0.2968740772,-1.301840799
H2O,2.886753898,0.3231581135,-1.321397301
H2O,2.906797327,0.3498659778,-1.344131765
H2O,2.926840757,0.3770613674,-1.370044191
H2O,2.946884187,0.4050509149,-1.430137375
H2O,2.966927617,0.4341593619,-1.467110528
H2O,2.986971047,0.4635705512,-1.46034602
H2O,3.007014477,0.4924078303,-1.40984385
H2O,3.027057906,0.5197945462,-1.315604018
H2O,3.047101336,0.5431444786,-0.9266314163
H2O,3.067144766,0.5571143183,-0.4853876799
H2O,3.087188196,0.5633261988,-0.1525164723
H2O,3.107231626,0.5639522771,0.07198220653
H2O,3.127275056,0.5611647106,0.1881083565
